facility_id,facility_name,orgunitid,lga_id,lga_name,cluster_id,cluster_name,product_id,product_name,date,total_used,HTS3e,HTS3e(Pos),VT1,VT1(Pos),YP2,YP2(Pos),KP_CTRR,KP_CTRR(Pos),total_dhis2,tested_comparison
116.0,An Nworah Hilltop Hospital And Maternity,JnK78IWxALr,7.0,Awka South,4.0,Awka,,,2025-10-09,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,-6.0
116.0,An Nworah Hilltop Hospital And Maternity,JnK78IWxALr,7.0,Awka South,4.0,Awka,,,2025-10-10,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0
56.0,An Umudora Primary Health Centre,JnbNLi29aZL,4.0,Anambra West,2.0,Omambala,,,2025-10-03,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0
56.0,An Umudora Primary Health Centre,JnbNLi29aZL,4.0,Anambra West,2.0,Omambala,,,2025-10-10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
187.0,An Obinwane Hospital And Maternity,Jzpyxz1Cydy,11.0,Idemili North,6.0,Onitsha,,,2025-10-03,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,10.0,-10.0
187.0,An Obinwane Hospital And Maternity,Jzpyxz1Cydy,11.0,Idemili North,6.0,Onitsha,,,2025-10-06,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0
187.0,An Obinwane Hospital And Maternity,Jzpyxz1Cydy,11.0,Idemili North,6.0,Onitsha,,,2025-10-09,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,-5.0
279.0,An Okpoko 5 Primary Health Centre,Kzd0JboiGEE,17.0,Ogbaru,6.0,Onitsha,,,2025-10-10,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0
292.0,An Gra Phc,LJvUBIpAfxA,18.0,Onitsha North,6.0,Onitsha,,,2025-10-03,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,-5.0
292.0,An Gra Phc,LJvUBIpAfxA,18.0,Onitsha North,6.0,Onitsha,,,2025-10-10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
