pe_name,ou,ou_name,HTS3e,HTS3e(Pos),VT1,VT1(Pos),YP2,YP2(Pos),KP_CTRR,KP_CTRR(Pos)
2025-10-03,xallQX8HUeS,an Maranatha Caring Mission Hospital,1,1,3,0,0,0,0,0
2025-10-03,y4dTAIa0QOQ,an Umudara Primary Health Centre,0,0,2,0,0,0,0,0
2025-10-03,yQcJZbzP2xr,an Umudioka Primary Health Centre,0,0,1,0,0,0,0,0
2025-10-03,ySBhaLN97hO,an St. Raphael Hospital Nkwelle Ezunaka,0,0,3,0,0,0,0,0
2025-10-03,yjxtvOYtp5A,an Ukpor General Hospital,24,0,0,0,0,0,0,0
2025-10-03,zGZjhpdrOde,an Emmanuel Church Primary Health Centre,0,0,1,0,0,0,0,0
2025-10-03,zkRGuZW2iEs,an Holy Family Hospital/Maternity,0,0,2,0,0,0,0,0
2025-10-04,ABifpivVY4F,an Nsukwu Primary Health Centre,3,0,0,0,0,0,0,0
2025-10-06,Cj3rwgMDm7q,an Umuawah Health Post,27,0,5,0,10,0,0,0
2025-10-06,FfgZ5ufqf7n,an Ebenesi Nnobi Primary Health Centre,0,0,5,0,0,0,0,0
2025-10-06,HqwDi1gXzB7,an Awba Offemmili Primary Health Centre,1,0,0,0,0,0,0,0
2025-10-06,IA64rosyhK1,an Enugu Ukwu General Hospital,0,1,0,0,0,0,0,0
2025-10-06,IX2qlVptNql,an Onitsha Pieta Hospital,0,0,2,0,0,0,0,0
2025-10-06,JOocbzN2dq7,an Umuokpu Primary Health Centre,0,2,3,0,0,0,0,0
2025-10-06,JnK78IWxALr,"an Nworah Hilltop Hospital & Maternity, Ugwu Tank, Amawbia",0,0,2,0,0,0,0,0
2025-10-06,Jzpyxz1Cydy,an Obinwane Hospital and Maternity,2,0,0,0,0,0,0,0
2025-10-06,MUq9oPoC0hr,an Ukpo Comprehensive Health Centre,4,0,0,0,0,0,0,0
2025-10-06,MsWUEiTxyht,an Ogbunike Primary Health Centre,0,0,2,0,0,0,0,0
2025-10-06,OKPZ7SmaYwP,an Immaculate Heart Hospital (Nkpor),13,0,5,0,0,0,0,0
2025-10-06,OxGTCa7PYrK,an Ekwulobia General Hospital,0,0,17,0,0,0,0,0
2025-10-06,P9qUQA6KmAs,an Holy Rosary Hospital,10,0,0,0,0,0,0,0
2025-10-06,VW6oZN1jKMg,an Lancet Hospital LTD,9,0,0,0,0,0,0,0
2025-10-06,YzuXkd7MRFN,an Obuno Ebenebe Health Post,3,0,0,0,0,0,0,0
2025-10-06,ZSSbDRTZ6CX,an St. Patricks Hospital and Maternity,0,0,4,0,0,0,0,0
2025-10-06,bVDmQU3reY0,an Patricia Memorial Hospital and Maternity Aka baby,0,0,6,0,0,0,0,0
2025-10-06,d6ugp5puEZ2,an Nteje Primary Health Centre,0,0,1,0,0,0,0,0
2025-10-06,dBES5aQviuh,"an Anambra State One Stop Shop (OSS) Site, Awka",0,0,0,0,0,0,99,1
2025-10-06,dkIkLMCU3KL,an Gozie Specialist Hospital,0,0,1,0,0,0,0,0
2025-10-06,glt0a9JC4VC,an Achalla Maternal and Child Health Care Centre,6,0,0,0,0,0,0,0
2025-10-06,lOzN4yw4pSh,an Madueke Memorial Hospital and Maternity,5,0,0,0,0,0,0,0
2025-10-06,miQ5RVnWC0K,an Eziowelle Primary Health Centre,3,0,0,0,0,0,0,0
2025-10-06,msr1TOXqZKf,an St Charles Borromeo Hospital,10,0,3,0,0,0,0,0
2025-10-06,p7CKerD8kRp,an Oba Comprehensive Health Centre (Trauma Centre),10,0,0,0,0,0,0,0
2025-10-06,pxYOOPUXmtt,an Obosi St Martin's Hospital,7,0,0,0,0,0,0,0
2025-10-06,qtDvX43LURH,an Akwaeze Community Reproductive Referral Health Centre,1,0,0,0,0,0,0,0
2025-10-06,sJDswuZ8Kqi,an Umuoji Basic Health Clinic,26,0,1,0,0,0,0,0
2025-10-06,uYnfVI0bkyf,an Nkpor Crown Hospital and Maternity,6,0,0,0,0,0,0,0
2025-10-06,vCsPrXuITbJ,an Osamala Primary Health Center,0,0,0,0,20,0,0,0
2025-10-06,ySBhaLN97hO,an St. Raphael Hospital Nkwelle Ezunaka,0,0,2,0,0,0,0,0
2025-10-06,yjxtvOYtp5A,an Ukpor General Hospital,20,0,0,0,0,0,0,0
2025-10-06,yox6XBHvvUs,an Kanayo Specialist Hospital and Maternity,0,0,2,0,0,0,0,0
2025-10-07,Cj3rwgMDm7q,an Umuawah Health Post,50,0,0,0,10,0,0,0
2025-10-07,ElMyEZ6ECq9,an Madonna Hospital Awka,0,0,2,0,0,0,0,0
2025-10-07,FfgZ5ufqf7n,an Ebenesi Nnobi Primary Health Centre,0,0,3,0,0,0,0,0
2025-10-07,Ha1Uxfwnmwq,an Rock Foundation Hospital,0,0,1,0,0,0,0,0
2025-10-07,HgxxN5GZv8Y,"an Rex Inversorium Hospital, Mmiata (Referral Health center Oroma-Etiti)",0,0,0,0,28,0,0,0
2025-10-07,HqwDi1gXzB7,an Awba Offemmili Primary Health Centre,2,0,0,0,0,0,0,0
2025-10-07,IA64rosyhK1,an Enugu Ukwu General Hospital,15,0,0,0,0,0,0,0
2025-10-07,IEKVnEePZLN,an Iyi-Enu Hospital,0,3,13,0,0,0,0,0
2025-10-07,IX2qlVptNql,an Onitsha Pieta Hospital,0,0,1,0,12,0,0,0
2025-10-07,JnK78IWxALr,"an Nworah Hilltop Hospital & Maternity, Ugwu Tank, Amawbia",0,0,1,0,0,0,0,0
2025-10-07,Lc0UxCUN8HR,an Neni Comprehensive Health Centre NAUTH,0,0,1,0,0,0,0,0
2025-10-07,MUq9oPoC0hr,an Ukpo Comprehensive Health Centre,5,0,0,0,0,0,0,0
2025-10-07,NzwdCUPjLKM,an Trinitas International Hospital Umuchukwu,0,0,1,0,0,0,0,0
2025-10-07,OKPZ7SmaYwP,an Immaculate Heart Hospital (Nkpor),10,0,2,0,0,0,0,0
2025-10-07,OoBxXYn1eoy,an Nnamdi Azikiwe University Teaching Hospital,95,1,4,0,0,0,0,0
2025-10-07,P9qUQA6KmAs,an Holy Rosary Hospital,8,0,5,0,0,0,0,0
